X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
-70.865822,42.810841,Black Duck Market Inc,50 Water St,Ste 30,Newburyport,MA,01950,2899,ESSEX,-70.865822,42.810841,301
-70.909729,42.819714,CVS Pharmacy 10502,75 Storey Ave,,Newburyport,MA,01950,3569,ESSEX,-70.909729,42.819714,303
-70.870399,42.809746,Newburyport Richdale,62 State St,,Newburyport,MA,01950,6613,ESSEX,-70.870399,42.809746,305
-70.874123,42.807156,CVS 1132,13 1/2 Pond St,,Newburyport,MA,01950,,ESSEX,-70.874123,42.807156,307
-70.903732,42.821964,Walgreens 02564,25 Storey Ave,Ste 4,Newburyport,MA,01950,1869,ESSEX,-70.903732,42.821964,308
-70.903732,42.821964,MARKET BASKET  40,25 Storey Ave,,Newburyport,MA,01950,1869,ESSEX,-70.903732,42.821964,309
-70.909401,42.819847,7 Eleven 34428A,73 Storey Ave,,Newburyport,MA,01950,1850,ESSEX,-70.909401,42.819847,310
-70.89257,42.820442,Natural Grocer Inc,334 High St,,Newburyport,MA,01950,3739,ESSEX,-70.89257,42.820442,311
-70.908279,42.820343,SHAW'S SUPERMARKET 2491,45 Storey Ave,Ste 1,Newburyport,MA,01950,1856,ESSEX,-70.908279,42.820343,312
-72.252541,42.255238,Big Y Supermarkets 21,148 West St,,Ware,MA,01082,1448,HAMPSHIRE,-72.252541,42.255238,769
-72.251678,42.256489,Dollar General 22130,139 West St,,Ware,MA,01082,1415,HAMPSHIRE,-72.251678,42.256489,770
-72.248245,42.256908,CVS PHARMACY 1111,104 West St,,Ware,MA,01082,1448,HAMPSHIRE,-72.248245,42.256908,771
-72.240463,42.260006,Ware Package Store,51 Main St,,Ware,MA,01082,1317,HAMPSHIRE,-72.240463,42.260006,772
-72.258003,42.251633,Cumberland Farms 6749,195 West St,,Ware,MA,01082,1458,HAMPSHIRE,-72.258003,42.251633,773
-72.253738,42.254578,Dollar Tree 2050,162 West St,,Ware,MA,01082,1448,HAMPSHIRE,-72.253738,42.254578,774
-72.281281,42.239368,Walmart SUPERCENTER 2386,352 Palmer Rd,,Ware,MA,01082,9740,HAMPSHIRE,-72.281281,42.239368,775
-72.243851,42.259869,Speedway 2487,18 West St,,Ware,MA,01082,1436,HAMPSHIRE,-72.243851,42.259869,776
-72.242226,42.260517,Bruso's Liquor Mart,144 Main St,,Ware,MA,01082,1320,HAMPSHIRE,-72.242226,42.260517,777
-72.254341,42.254379,Walgreens 10128,171 West St,,Ware,MA,01082,1458,HAMPSHIRE,-72.254341,42.254379,778
-70.194695,41.735538,DENNIS PUBLIC MARKET,653 Main St,,Dennis,MA,02638,1948,BARNSTABLE,-70.194695,41.735538,1939
-70.184647,41.744751,7-Eleven 37426H,964 Main St,,Dennis,MA,02638,1503,BARNSTABLE,-70.184647,41.744751,1940
-70.091599,41.67252,Shaw's Supermarket 4596,18 Sisson Rd,,Harwich Port,MA,02646,1521,BARNSTABLE,-70.091599,41.67252,2230
-70.072075,41.667965,"Cumberland Farms, Inc 2305",578 Main St,,Harwich Port,MA,02646,1838,BARNSTABLE,-70.072075,41.667965,2231
